title,description,duration_weeks,difficulty_level,category
تقوية الصلة بالله,أسبوع مخصص لتحسين العبادات الأساسية وتقوية الصلة بالله تعالى,1,متوسط,عبادة
الأذكار اليومية,برنامج لتعويد النفس على الأذكار والأدعية المأثورة يومياً,2,سهل,عبادة
إتقان الصلاة,برنامج شامل لتحسين جودة الصلاة والخشوع فيها,3,متوسط,عبادة
قيام الليل التدريجي,خطة لتعويد النفس على قيام الليل بشكل تدريجي,4,متقدم,عبادة
حفظ القرآن التدريجي,خطة منهجية لحفظ القرآن الكريم بطريقة تدريجية ومنظمة,52,صعب,علم
تدبر القرآن اليومي,برنامج يومي لتدبر آيات القرآن الكريم وفهم معانيها,4,متوسط,علم
حفظ الأحاديث النبوية,خطة لحفظ الأحاديث النبوية الأساسية,8,متوسط,علم
تعلم السيرة النبوية,برنامج شامل لدراسة سيرة النبي محمد صلى الله عليه وسلم,12,سهل,علم
تزكية النفس,برنامج لتطهير النفس من الأخلاق السيئة وتحليتها بالأخلاق الحسنة,8,متقدم,أخلاق
بر الوالدين,خطة عملية لتحسين العلاقة مع الوالدين وبرهما,2,سهل,أخلاق
الصدق والأمانة,برنامج لتعزيز خلق الصدق والأمانة في الحياة اليومية,3,متوسط,أخلاق
التواضع وخفض الجناح,خطة لتنمية خلق التواضع والتخلص من الكبر,4,متقدم,أخلاق
الدعوة إلى الله,برنامج لتعلم أساليب الدعوة إلى الله بالحكمة والموعظة الحسنة,6,متقدم,دعوة
العمل التطوعي,خطة للمشاركة في الأعمال الخيرية وخدمة المجتمع,4,سهل,خدمة
صلة الرحم,برنامج لتقوية الروابط الأسرية وصلة الأرحام,2,سهل,أخلاق
